         distance[pc] =    137.00000000000000     
  inclination[degree] =    37.500000000000000     
      number of lines =            7
      number of velos =          152

 line#01  OI         002->001 SYS=04  lam =   63.18367mic  nu =   4744.77749GHz
    line flux [W/m^2] =   4.07131679169109019E-017
    cont flux    [Jy] =    22.470086144629906     
 velo[km/s]      flux[Jy]     fconv[Jy]
  1.000E+99  2.247009E+01  2.247009E+01
 -2.000E+01  2.276333E+01  2.276333E+01
 -1.937E+01  2.280265E+01  2.280265E+01
 -1.890E+01  2.283387E+01  2.283387E+01
 -1.848E+01  2.286983E+01  2.286983E+01
 -1.808E+01  2.290527E+01  2.290527E+01
 -1.771E+01  2.293762E+01  2.293762E+01
 -1.735E+01  2.298349E+01  2.298349E+01
 -1.700E+01  2.301852E+01  2.301852E+01
 -1.666E+01  2.306481E+01  2.306481E+01
 -1.633E+01  2.311475E+01  2.311475E+01
 -1.601E+01  2.316101E+01  2.316101E+01
 -1.569E+01  2.322061E+01  2.322061E+01
 -1.538E+01  2.327854E+01  2.327854E+01
 -1.508E+01  2.334049E+01  2.334049E+01
 -1.478E+01  2.341359E+01  2.341359E+01
 -1.448E+01  2.349037E+01  2.349037E+01
 -1.419E+01  2.357582E+01  2.357582E+01
 -1.390E+01  2.366680E+01  2.366680E+01
 -1.361E+01  2.376480E+01  2.376480E+01
 -1.333E+01  2.386707E+01  2.386707E+01
 -1.305E+01  2.397768E+01  2.397768E+01
 -1.278E+01  2.408959E+01  2.408959E+01
 -1.250E+01  2.421193E+01  2.421193E+01
 -1.223E+01  2.433505E+01  2.433505E+01
 -1.196E+01  2.447241E+01  2.447241E+01
 -1.170E+01  2.461883E+01  2.461883E+01
 -1.143E+01  2.477477E+01  2.477477E+01
 -1.117E+01  2.494660E+01  2.494660E+01
 -1.091E+01  2.512551E+01  2.512551E+01
 -1.065E+01  2.531395E+01  2.531395E+01
 -1.039E+01  2.552529E+01  2.552529E+01
 -1.014E+01  2.574119E+01  2.574119E+01
 -9.882E+00  2.598734E+01  2.598734E+01
 -9.630E+00  2.622739E+01  2.622739E+01
 -9.379E+00  2.651110E+01  2.651110E+01
 -9.130E+00  2.678010E+01  2.678010E+01
 -8.882E+00  2.711774E+01  2.711774E+01
 -8.636E+00  2.742485E+01  2.742485E+01
 -8.391E+00  2.779935E+01  2.779935E+01
 -8.147E+00  2.815802E+01  2.815802E+01
 -7.904E+00  2.855388E+01  2.855388E+01
 -7.663E+00  2.896446E+01  2.896446E+01
 -7.423E+00  2.937301E+01  2.937301E+01
 -7.184E+00  2.978416E+01  2.978416E+01
 -6.946E+00  3.017049E+01  3.017049E+01
 -6.709E+00  3.054880E+01  3.054880E+01
 -6.473E+00  3.094459E+01  3.094459E+01
 -6.239E+00  3.134055E+01  3.134055E+01
 -6.005E+00  3.172920E+01  3.172920E+01
 -5.772E+00  3.211319E+01  3.211319E+01
 -5.540E+00  3.246621E+01  3.246621E+01
 -5.309E+00  3.277007E+01  3.277007E+01
